Anno;Campo azione;Descrizione del campo azione;Numero attivita validate
2024;a;Valorizzazione della proprieta' intellettuale o industriale;3
2024;b;Imprenditorialita' accademica;2
2024;c;Strutture di intermediazione e trasferimento tecnologico;2
2024;d;Produzione e gestione di beni artistici e culturali;1
2024;e;Sperimentazione clinica e iniziative di tutela della salute;154
2024;f;Formazione permanente e didattica aperta;120
2024;g;Attività di public engagement;677
2024;h;Produzione di beni pubblici di natura sociale, educativa e politiche per l’inclusione;7
2024;i;Strumenti innovativi a sostegno dell'Open Science;0
2024;j;Attività collegate all’Agenda ONU 2030;20
